time,value
55583,1.038619757
55586,0.815713942
55607,0.984850407
55629,1.042284727
55718,1.287296534
55870,0.997464478
55982,1.310747862
56011,1.088971853
56132,0.854732633
56168,1.642092824
56210,0.943841636
56291,1.043775082
56477,1.029723883
56481,1.069140553
56487,0.942988217
56761,1.032797098
56791,1.093868732
56793,1.746106982
56932,0.855301499
56959,1.119680882
57066,1.646345139
57301,0.839942396
57412,1.157836437
57451,1.156282902
57585,1.130343676
57781,1.049294949
57792,1.421107173
57898,1.246382833
57944,0.958985388
57966,1.222991347
57978,0.854599774
58170,1.445999265
58367,1.089304924
58397,1.714535713
58405,1.183002472
58447,0.8780635
58615,1.586507082
58655,1.945381641
58730,1.014039636
58766,1.852765203
58865,1.919464946
59057,1.453999043
59340,1.194791079
59485,0.934324503
59553,1.319344997
59555,1.091702223
59972,1.876016736
60001,1.126722813
60125,1.102829814
60179,1.160511613
60280,1.296215057
60431,1.186126709
60958,0.941678822
61178,1.364417553
61219,1.045489311
61386,1.035173535
61398,1.08732152
61660,1.055443645
61725,1.051238537
61742,1.099409819
61904,0.953092456
61906,0.953462422
61941,1.243787408
61969,1.736334085
61990,1.263182044
61991,1.144825697
62052,1.075895667
62081,1.137120247
62344,1.12291801
62386,1.010306597
62487,1.113032222
62558,0.959747612
62560,1.037798762
62693,1.50377059
62820,1.627234459
62968,1.008691907
63071,1.057006598
63150,0.945483267
63161,1.077777982
63248,1.632343411
63568,1.064544439
63622,1.312181234
63687,0.972204506
63905,1.105659127
64091,0.889932334
64128,0.841107249
64499,1.085565329
64598,0.927643001
64629,1.084380627
64894,0.890096724
64928,1.085300803
65325,0.974907935
65372,1.06164968
65417,1.452997804
65445,1.519601822
65448,1.272064447
65558,1.42920208
65684,0.976923883
65722,0.896202326
65753,1.222352862
65841,0.838570595
65858,1.097201467
65933,1.382165551
65956,0.91572094
65987,0.967741013
66113,1.052751422
66210,1.031927943
66230,0.940968156
66244,0.911894083
66292,1.030683041
66509,1.318572521
66633,0.993376195
66652,1.427360773
66664,0.988020241
66680,1.245045662
66682,1.073046207
66697,1.395077348
66739,0.897816122
66742,1.48216629
66780,1.046343207
67090,0.913569927
67183,1.096206546
67237,1.253051519
67281,0.83280158
67386,1.912557364
67511,1.169190049
67523,1.257380128
67834,1.212003946
67860,1.068241358
67898,1.073810339
67994,1.188241959
68069,0.831190765
68188,1.144463062
68311,1.118529677
68368,1.05282414
68438,1.176936507
68456,1.231324434
68587,1.144656658
68619,0.94884795
68623,1.159469485
68664,1.270464659
68826,0.923902094
68837,1.050276875
69066,1.250724077
69071,1.138035417
69234,1.120312333
69336,1.099406242
69427,1.239841342
69460,1.005290866
69529,0.93051511
69640,1.244177461
69675,1.689428449
69785,1.189730048
69822,0.808526337
70054,1.096613765
70195,1.453318596
70339,1.083300352
70360,1.147717595
70588,1.412191868
70593,1.496992111
70637,1.448387384
70650,1.195927858
70741,0.970038831
70875,0.982058883
70951,1.027129531
70958,1.189682245
71013,1.03651166
71081,1.154031038
71159,1.109881878
71206,1.022788048
71223,0.965867698
71256,1.327587485
71356,1.175094604
71694,1.489602208
71768,0.963550866
71812,1.963893533
71833,1.395999432
71915,0.88498807
71923,1.000707269
72102,1.160631418
72289,0.989493906
72550,0.886140883
72585,1.08195591
72620,0.799840808
72646,0.997395992
73124,1.662771225
73204,1.22044754
73242,0.871180117
73453,1.612958789
73492,0.939796448
73565,0.992210984
73686,1.169359207
73838,1.144831181
73885,0.988842726
73915,0.945279181
73922,0.984865308
73943,1.523072481
74034,1.115581155
74036,1.252994299
74150,1.528386235
74192,0.970938683
74306,0.933168411
74412,1.006337762
74482,1.194545269
74594,1.285070062
74718,1.415684342
74756,1.269124985
74835,1.077302098
74857,0.895828426
75005,1.180797696
75097,1.085822463
75110,1.104523063
75146,1.156505704
75184,1.292868257
75205,1.28269875
75369,0.829337716
75442,1.0827806
75497,1.349828482
75565,1.144647598
75612,1.379735112
75685,1.161218643
75886,1.014539719
75960,1.126495004
76005,1.011239409
76218,0.851278365
76219,1.308956265
76306,0.904686928
76486,0.863488615
76487,1.112962961
76531,0.948009253
76587,1.192264318
76793,1.236139059
76930,0.879361153
76937,0.870849967
77012,1.035655499
77019,1.231300116
77032,1.031558871
77145,1.118723035
77506,1.233987689
77555,1.206365466
77558,1.277006269
77609,1.019023776
77708,0.879504621
77806,1.064376593
77950,1.061323643
78039,0.876728117
78060,1.173468947
78089,1.619476914
78144,0.944097042
78186,1.360982418
78229,1.392135262
78275,0.869506001
78329,1.186699152
78349,0.984606802
78352,0.977589011
78423,1.325929999
78435,0.833204508
78517,1.185441971
78520,1.002959013
78590,0.926696122
78638,0.909546018
78745,1.348843932
78755,1.091596723
78758,0.739789069
78938,1.193669438
79060,0.890604258
79127,1.146677136
79148,1.243424654
79149,0.913089275
79178,0.868677437
79230,0.975045323
79554,1.221920729
79577,1.06275022
79865,0.900350749
79925,1.111431241
80249,0.918366432
80289,0.778401554
80473,1.132465243
80493,1.57588768
80545,0.927822769
80748,1.007706165
81142,1.246691227
81315,1.083788753
81325,1.101798892
81368,1.096722722
81369,0.995920002
81437,0.928454578
81525,0.884616435
81615,0.836885393
81721,0.987571359
81910,0.942111254
82113,0.9526667
82251,1.360667944
82482,1.167863369
82557,0.896443367
82708,0.929844856
82748,1.168078899
82950,1.17634964
83150,0.853462577
83169,1.248583436
83176,1.141122103
83324,1.158968091
83649,1.118188739
83795,0.865610301
83799,1.877995014
83893,1.131904364
83904,0.878513038
83947,0.862224817
83970,0.82744509
83989,0.974466264
84039,1.614162326
84281,1.252120733
